year,artist,track,time,date.entered,week,rating
2000,Lonestar,Amazed,4:25,1999-06-05,wk01,81.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk02,54.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk03,44.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk04,39.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk05,38.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk06,33.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk07,29.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk08,29.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk09,32.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk10,27.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk11,26.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk12,24.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk13,27.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk14,32.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk15,33.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk16,35.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk17,35.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk18,40.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk19,43.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk20,50.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk30,45.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk31,45.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk32,45.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk33,23.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk34,17.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk35,14.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk36,17.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk37,18.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk38,18.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk39,3.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk40,1.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk41,1.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk42,2.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk43,3.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk44,4.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk45,4.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk46,5.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk47,6.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk48,8.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk49,9.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk50,10.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk51,12.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk52,15.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk53,20.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk54,22.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk55,22.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk56,25.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk57,26.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk58,31.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk59,32.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk60,37.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk61,42.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk62,42.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk63,45.0
2000,Lonestar,Amazed,4:25,1999-06-05,wk64,50.0
2000,Amber,Sexual,4:38,1999-07-17,wk01,99.0
2000,Amber,Sexual,4:38,1999-07-17,wk02,99.0
2000,Amber,Sexual,4:38,1999-07-17,wk03,96.0
2000,Amber,Sexual,4:38,1999-07-17,wk04,96.0
2000,Amber,Sexual,4:38,1999-07-17,wk05,100.0
2000,Amber,Sexual,4:38,1999-07-17,wk06,93.0
2000,Amber,Sexual,4:38,1999-07-17,wk07,93.0
2000,Amber,Sexual,4:38,1999-07-17,wk08,96.0
2000,Amber,Sexual,4:38,1999-07-17,wk11,99.0
2000,Amber,Sexual,4:38,1999-07-17,wk13,96.0
2000,Amber,Sexual,4:38,1999-07-17,wk14,96.0
2000,Amber,Sexual,4:38,1999-07-17,wk15,99.0
2000,Amber,Sexual,4:38,1999-07-17,wk16,98.0
2000,Amber,Sexual,4:38,1999-07-17,wk17,98.0
2000,Amber,Sexual,4:38,1999-07-17,wk19,95.0
2000,Amber,Sexual,4:38,1999-07-17,wk20,88.0
2000,Amber,Sexual,4:38,1999-07-17,wk21,88.0
2000,Amber,Sexual,4:38,1999-07-17,wk22,79.0
2000,Amber,Sexual,4:38,1999-07-17,wk23,76.0
2000,Amber,Sexual,4:38,1999-07-17,wk24,69.0
2000,Amber,Sexual,4:38,1999-07-17,wk25,69.0
2000,Amber,Sexual,4:38,1999-07-17,wk26,59.0
2000,Amber,Sexual,4:38,1999-07-17,wk27,58.0
2000,Amber,Sexual,4:38,1999-07-17,wk28,58.0
2000,Amber,Sexual,4:38,1999-07-17,wk29,49.0
2000,Amber,Sexual,4:38,1999-07-17,wk30,44.0
2000,Amber,Sexual,4:38,1999-07-17,wk31,42.0
2000,Amber,Sexual,4:38,1999-07-17,wk32,46.0
2000,Amber,Sexual,4:38,1999-07-17,wk33,50.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk01,81.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk02,68.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk03,44.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk04,16.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk05,11.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk06,9.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk07,8.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk08,7.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk09,8.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk10,7.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk11,8.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk12,8.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk13,6.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk14,6.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk15,5.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk16,5.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk17,5.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk18,5.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk19,4.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk20,6.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk21,10.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk22,10.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk23,11.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk24,20.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk25,22.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk26,27.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk27,34.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,wk28,49.0
2000,Creed,Higher,5:16,1999-09-11,wk01,81.0
2000,Creed,Higher,5:16,1999-09-11,wk02,77.0
2000,Creed,Higher,5:16,1999-09-11,wk03,73.0
2000,Creed,Higher,5:16,1999-09-11,wk04,63.0
2000,Creed,Higher,5:16,1999-09-11,wk05,61.0
2000,Creed,Higher,5:16,1999-09-11,wk06,58.0
2000,Creed,Higher,5:16,1999-09-11,wk07,56.0
2000,Creed,Higher,5:16,1999-09-11,wk08,52.0
2000,Creed,Higher,5:16,1999-09-11,wk09,56.0
2000,Creed,Higher,5:16,1999-09-11,wk10,57.0
2000,Creed,Higher,5:16,1999-09-11,wk11,57.0
2000,Creed,Higher,5:16,1999-09-11,wk12,57.0
2000,Creed,Higher,5:16,1999-09-11,wk13,57.0
2000,Creed,Higher,5:16,1999-09-11,wk14,57.0
2000,Creed,Higher,5:16,1999-09-11,wk15,60.0
2000,Creed,Higher,5:16,1999-09-11,wk16,61.0
2000,Creed,Higher,5:16,1999-09-11,wk17,61.0
2000,Creed,Higher,5:16,1999-09-11,wk18,57.0
2000,Creed,Higher,5:16,1999-09-11,wk19,60.0
2000,Creed,Higher,5:16,1999-09-11,wk20,61.0
2000,Creed,Higher,5:16,1999-09-11,wk29,43.0
2000,Creed,Higher,5:16,1999-09-11,wk30,41.0
2000,Creed,Higher,5:16,1999-09-11,wk31,34.0
2000,Creed,Higher,5:16,1999-09-11,wk32,28.0
2000,Creed,Higher,5:16,1999-09-11,wk33,25.0
2000,Creed,Higher,5:16,1999-09-11,wk34,23.0
2000,Creed,Higher,5:16,1999-09-11,wk35,22.0
2000,Creed,Higher,5:16,1999-09-11,wk36,16.0
2000,Creed,Higher,5:16,1999-09-11,wk37,16.0
2000,Creed,Higher,5:16,1999-09-11,wk38,18.0
2000,Creed,Higher,5:16,1999-09-11,wk39,14.0
2000,Creed,Higher,5:16,1999-09-11,wk40,13.0
2000,Creed,Higher,5:16,1999-09-11,wk41,13.0
2000,Creed,Higher,5:16,1999-09-11,wk42,11.0
2000,Creed,Higher,5:16,1999-09-11,wk43,11.0
2000,Creed,Higher,5:16,1999-09-11,wk44,9.0
2000,Creed,Higher,5:16,1999-09-11,wk45,9.0
2000,Creed,Higher,5:16,1999-09-11,wk46,7.0
2000,Creed,Higher,5:16,1999-09-11,wk47,7.0
2000,Creed,Higher,5:16,1999-09-11,wk48,9.0
