Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2018-08-01,875,0,30.5,68,1.9,2000,23.9,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,724,1,29.9,70,1.0,2000,23.8,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,501,2,29.5,69,0.8,2000,23.2,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,362,3,29.1,64,0.5,1997,21.5,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,250,4,28.5,69,0.3,2000,22.2,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,315,5,28.3,68,0.3,2000,21.8,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,622,6,27.8,73,0.9,1971,22.5,0.01,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1061,7,28.2,68,0.5,1748,21.7,0.27,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1550,8,30.3,59,0.8,1920,21.3,1.02,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,853,9,32.4,53,0.7,1264,21.5,1.69,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,540,10,34.3,45,1.0,1919,20.6,2.31,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,521,11,35.8,41,1.6,1795,20.4,2.77,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,569,12,36.8,39,1.3,1944,20.5,2.8,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,533,13,37.9,38,2.3,1868,21.1,3.05,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,475,14,38.7,38,2.4,1943,21.8,3.12,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,531,15,39.3,37,2.3,1892,21.9,2.82,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,561,16,39.4,39,2.5,1897,22.8,2.42,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1033,17,39.0,41,2.6,1881,23.3,1.83,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1929,18,37.8,47,3.8,1931,24.5,1.09,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1553,19,36.1,56,3.7,1837,25.9,0.47,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1441,20,34.5,62,2.8,1701,26.1,0.02,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1500,21,33.3,64,3.0,1680,25.5,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1367,22,32.6,64,2.4,1703,24.8,0.0,0.0,0.0,Summer,No Holiday,Yes
2018-08-01,1046,23,32.3,67,1.0,1592,25.3,0.0,0.0,0.0,Summer,No Holiday,Yes
