distance_m,weight_t,length_m,width_m,footprint_m2,turns,hour,congestion,true_min
946.8307743826789,289.6215357117905,22.17,6.01,133.2,1,13,3,7.207876156046893
571.5438525222986,97.74905405503108,16.08,20.58,331.0,4,12,0,5.379668758278133
1041.6296703007483,354.4288532411025,5.78,24.74,142.9,1,11,1,7.127047010930342
861.0521925464876,119.16443197901818,39.67,10.93,433.5,3,10,4,6.9123333077098295
185.47862963416748,64.74625032177792,9.47,22.04,208.6,5,9,1,5.352352606846097
1172.6970338331666,314.2406650544507,12.45,19.78,246.1,1,11,2,7.946758403456669
932.4764662291954,403.5628665265779,11.73,23.05,270.4,2,6,0,8.406144297679145
960.3920219101883,516.863964651644,36.59,12.34,451.4,1,9,3,9.012883767517273
223.4872685966114,476.21626575395305,31.26,5.23,163.4,2,18,2,3.656149370615275
584.4322504430352,518.6270922712324,19.92,5.6,111.6,1,8,4,6.063258914591501
495.29378714049096,463.2391993679076,38.35,19.79,759.0,5,15,4,7.613446899434917
1117.976787510434,430.8464562364994,4.95,21.99,108.9,1,6,1,7.184303198905941
801.1289344903442,35.77841441019879,36.07,13.05,470.8,3,15,3,6.253093688950538
1001.4930068633296,386.87831773125,5.24,4.31,22.6,0,9,1,7.413368369951817
576.6239026866108,98.67462835929709,17.47,4.47,78.1,2,15,1,4.547205329900841
334.5073683989501,63.440265429548404,5.0,16.17,80.8,5,12,1,4.848509700617161
701.134961457735,119.15492670022358,39.96,23.21,927.5,4,16,1,8.459089386286525
151.47532683667635,499.2765320217976,36.83,11.79,434.3,1,14,6,2.5704188058346054
1006.9469126316919,453.9941540670122,24.64,17.31,426.6,5,13,2,10.337409699656712
787.4641270167126,570.8002709669711,11.06,14.92,165.1,4,15,3,10.025814099013635
929.0582688956187,588.016467430734,13.24,22.57,298.9,2,18,2,9.739056511972688
477.0690843054526,539.1718722331698,19.63,21.31,418.4,5,13,2,7.067083016317869
1167.1817873222917,105.76784905688953,14.94,7.39,110.4,1,8,1,7.418461665723745
1080.2956558808614,530.6781623272389,3.79,17.91,67.8,1,7,0,7.3819148863599935
951.7895167226133,508.02316682952784,27.28,21.65,590.5,5,13,1,12.773281706659809
297.99535279420365,526.5189401200275,25.7,23.47,603.0,5,11,2,6.249464864714167
602.7275241742783,116.46080175640012,36.46,15.98,582.6,4,13,2,6.936228180997818
129.06021768169623,96.571341830791,20.64,6.87,141.8,1,14,1,1.6279827314731092
